sym,strat,score,entry,entry_date,sl,tg,qty,val,days,regime,tier,exit,exit_date,reason,costs,pnl
HINDALCO,MOM,14.0,406.22,2021-07-29,385.07,437.94,123,49964.72411398155,1,2,NIFTY50,437.5,2021-07-29,TARGET,152.34,3695.35
INFY,MOM,13.0,1346.74,2021-07-19,1296.86,1421.56,37,49829.25527915627,10,2,NIFTY50,1420.14,2021-08-02,TARGET,150.36,2565.38
SBIN,MOM,13.0,390.07,2021-07-29,374.44,413.52,128,49929.21103494423,5,2,NIFTY50,413.11,2021-08-04,TARGET,150.98,2797.69
SBIN,MOM,13.0,422.12,2021-08-05,402.46,451.61,118,49810.17920614998,1,2,NIFTY50,402.06,2021-08-05,SL,143.21,-2510.58
GRASIM,MOM,14.0,1531.28,2021-08-03,1457.24,1642.35,32,49001.05135667621,6,2,NIFTY50,1455.78,2021-08-10,SL,140.76,-2556.67
VEDL,MOM,14.0,140.04,2021-07-30,131.18,153.33,357,49993.90785043344,9,2,MIDCAP,153.02,2021-08-11,TARGET,153.53,4481.52
SBIN,MOM,14.0,406.28,2021-08-06,384.87,438.39,123,49972.340000532684,8,2,NIFTY50,384.49,2021-08-17,SL,143.25,-2824.02
VEDL,MOM,13.0,156.61,2021-08-12,145.93,172.64,319,49959.56321482923,4,2,MIDCAP,145.64,2021-08-17,SL,142.06,-3642.08
BAJAJFINSV,MOM,12.0,1408.48,2021-08-11,1340.48,1510.48,35,49296.91320802745,6,2,NIFTY50,1508.97,2021-08-18,TARGET,149.91,3367.22
VEDL,MOM,13.0,143.59,2021-08-18,130.04,163.92,348,49970.71073461411,2,2,MIDCAP,129.78,2021-08-20,SL,140.28,-4946.19
WIPRO,MOM,13.0,293.98,2021-08-18,281.81,312.23,170,49976.28581859883,12,2,NIFTY50,302.32,2021-09-03,TIME,148.98,1268.91
APOLLOHOSP,MOM,13.0,4665.6,2021-08-20,4345.97,5145.03,10,46655.979323060004,12,2,NIFTY50,4929.1,2021-09-06,TIME,140.92,2494.1
GRAVITA,MOM,13.0,185.12,2021-08-23,162.17,219.54,270,49982.50355963396,12,2,SMALLCAP,193.87,2021-09-07,TIME,150.32,2212.04
WIPRO,MOM,13.0,319.06,2021-09-07,305.95,338.73,156,49773.97354538897,2,2,NIFTY50,305.64,2021-09-08,SL,143.49,-2236.38
ADANIENT,MOM,12.0,1570.77,2021-09-06,1472.12,1718.74,31,48693.84336875172,9,2,NIFTY50,1470.65,2021-09-17,SL,138.9,-3242.69
LT,MOM,12.0,1600.17,2021-09-08,1532.83,1701.19,31,49605.34294570337,12,2,NIFTY50,1699.49,2021-09-24,TARGET,150.21,2928.67
