sym,strat,score,entry,entry_date,sl,tg,qty,val,days,regime,tier,exit,exit_date,reason,costs,pnl
HFCL,MOM,13.0,75.36,2021-11-03,67.88,86.59,663,49965.91538655518,12,2,MIDCAP,69.72,2021-11-22,TIME,141.74,-3884.34
ADANIENT,MOM,13.0,1712.66,2021-11-17,1584.66,1904.65,29,49667.07693201317,12,2,NIFTY50,1703.35,2021-12-03,TIME,145.71,-415.63
VEDL,MOM,12.0,189.53,2022-01-04,176.88,208.5,263,49845.31892830528,1,2,MIDCAP,176.53,2022-01-04,SL,141.85,-3561.84
TECHM,MOM,12.0,1562.25,2022-01-04,1481.73,1683.03,32,49991.928474864275,3,2,NIFTY50,1480.25,2022-01-06,SL,143.38,-2767.44
ADANIENT,MOM,12.0,1724.4,2022-01-04,1627.02,1870.46,28,48283.16193791158,9,2,NIFTY50,1868.59,2022-01-14,TARGET,147.65,3889.66
VEDL,MOM,13.0,178.62,2022-01-05,164.8,199.34,279,49834.7719410561,12,2,MIDCAP,172.94,2022-01-20,TIME,144.37,-1729.87
HFCL,MOM,13.0,87.1,2022-01-07,77.99,100.76,574,49992.753014941096,12,2,MIDCAP,77.83,2022-01-24,SL,139.64,-5458.31
ADANIENT,MOM,13.0,1874.53,2022-01-17,1766.6,2036.43,26,48737.80641804004,6,2,NIFTY50,1764.83,2022-01-24,SL,139.37,-2991.48
LT,MOM,13.0,1885.72,2022-01-21,1807.99,2002.32,26,49028.73031641603,2,2,NIFTY50,1806.18,2022-01-24,SL,141.32,-2209.31
SBIN,MOM,12.0,491.39,2022-02-02,463.52,533.2,101,49630.39578644849,9,2,NIFTY50,463.06,2022-02-14,SL,141.99,-3003.68
GRASIM,MOM,12.0,1741.02,2022-02-02,1632.97,1903.11,28,48748.61115151647,9,2,NIFTY50,1631.34,2022-02-14,SL,139.1,-3210.22
HINDALCO,MOM,13.0,500.95,2022-02-02,471.85,544.6,99,49593.97741437442,12,2,NIFTY50,516.99,2022-02-17,TIME,148.09,1439.41
HAL,MOM,13.0,693.71,2022-03-21,642.94,769.86,72,49946.86424680521,12,2,MIDCAP,735.84,2022-04-05,TIME,151.15,2882.11
DSSL,MOM,12.0,233.84,2022-03-21,196.29,290.16,213,49808.10897335598,12,2,SMALLCAP,221.8,2022-04-05,TIME,142.93,-2707.25
VEDL,MOM,12.0,210.45,2022-03-21,194.08,235.0,237,49875.70447297342,12,2,MIDCAP,229.25,2022-04-05,TIME,152.92,4303.39
BEL,MOM,13.0,69.54,2022-04-06,65.53,75.55,719,49998.43364879275,2,2,NIFTY50,75.47,2022-04-07,TARGET,153.02,4113.85
HAL,MOM,13.0,756.51,2022-04-08,707.02,830.75,66,49929.73010470984,5,2,MIDCAP,829.09,2022-04-18,TARGET,153.55,4636.63
COALINDIA,MOM,12.0,139.52,2022-04-06,131.07,152.2,358,49949.7991050913,10,2,NIFTY50,152.05,2022-04-21,TARGET,153.18,4331.77
TATASTEEL,MOM,13.0,119.17,2022-04-19,112.21,129.6,419,49931.024467022224,4,2,NIFTY50,112.1,2022-04-22,SL,142.74,-3106.0
ADANIENT,MOM,13.0,2152.06,2022-04-06,2028.33,2337.67,23,49497.463585893,12,2,NIFTY50,2277.85,2022-04-25,TIME,149.63,2743.57
COALINDIA,MOM,13.0,152.35,2022-04-22,141.73,168.29,328,49971.830737565295,2,2,NIFTY50,141.59,2022-04-25,SL,142.06,-3671.91
HAL,MOM,11.0,792.2,2022-04-25,736.67,875.49,63,49908.321693720965,10,1,MIDCAP,735.2,2022-05-09,SL,141.79,-3733.0
VEDL,MOM,11.0,226.27,2022-04-27,211.63,248.23,220,49779.538628672475,8,1,MIDCAP,211.21,2022-05-09,SL,141.79,-3455.71
COALINDIA,MOM,12.0,141.08,2022-04-27,129.95,157.77,354,49941.37944160899,9,1,NIFTY50,129.82,2022-05-10,SL,141.34,-4127.36
BEL,MOM,10.0,75.95,2022-07-08,71.39,82.79,658,49975.40954714375,7,1,NIFTY50,82.71,2022-07-18,TARGET,153.21,4293.03
ITC,MOM,11.0,242.17,2022-07-08,232.33,256.92,206,49886.20887596374,12,1,NIFTY50,248.45,2022-07-25,TIME,148.54,1144.79
POWERINDIA,MOM,10.0,3337.39,2022-07-08,3100.66,3692.49,14,46723.51355916892,12,1,MIDCAP,3094.46,2022-07-25,SL,132.69,-3533.73
