sym,strat,entry,entry_date,exit,exit_date,qty,reason,days,regime,costs,pnl
DIXON,MOM,15288.78,2024-10-15,14344.81,2024-10-25,3,SL,9,2,130.96,-2962.86
HCLTECH,MOM,1659.4,2024-10-04,1642.15,2024-11-01,30,SL,21,2,145.71,-663.35
DIXON,MOM,17406.01,2024-12-06,19003.09,2024-12-17,1,TARGET_HALF,8,2,53.42,1543.66
ICICIBANK,MOM,1333.55,2024-12-06,1274.88,2024-12-19,37,SL_GAP,10,2,142.11,-2313.01
TECHM,MOM,1703.93,2024-12-06,1626.84,2024-12-20,29,SL,11,2,142.23,-2377.8
DIXON,MOM,17406.01,2024-12-06,17371.2,2025-01-08,1,SL,23,2,51.15,-85.96
SUNPHARMA,MOM,1850.47,2025-01-03,1781.01,2025-01-10,27,SL,6,2,144.35,-2019.85
EICHERMOT,MOM,5262.09,2025-01-03,5010.25,2025-01-10,9,SL,6,2,136.14,-2402.66
HINDALCO,MOM,710.5,2025-03-21,674.93,2025-03-28,70,SL,6,1,142.82,-2632.41
SHRIRAMFIN,MOM,658.96,2025-03-21,585.84,2025-04-07,75,SL_GAP,11,1,137.71,-5621.64
HDFCBANK,MOM,875.39,2025-04-01,846.42,2025-04-07,57,SL,5,1,144.47,-1795.6
HDFCLIFE,MOM,674.2,2025-03-21,719.71,2025-04-21,37,TARGET_HALF,18,1,75.73,1608.27
EICHERMOT,MOM,5483.45,2025-04-16,5305.33,2025-05-08,9,SL,15,1,142.92,-1746.0
BSE,MOM,2164.17,2025-05-09,2452.88,2025-05-14,11,TARGET_HALF,4,1,74.46,3101.4
HDFCLIFE,MOM,674.2,2025-03-21,737.98,2025-06-13,37,SL,56,1,76.67,2283.09
BSE,MOM,2164.17,2025-05-09,2647.69,2025-06-13,12,SL_GAP,26,1,84.48,5717.81
MCX,MOM,1521.64,2025-06-16,1673.75,2025-06-25,16,TARGET_HALF,8,2,75.01,2358.68
HDFCBANK,MOM,915.13,2025-04-16,969.77,2025-06-26,27,TARGET_HALF,50,1,74.73,1400.53
TECHM,MOM,1572.13,2025-06-16,1533.62,2025-07-10,31,SL,19,2,141.69,-1335.55
MCX,MOM,1521.64,2025-06-16,1643.75,2025-07-11,16,SL,20,2,74.34,1879.44
TECHM,MOM,1542.93,2025-07-14,1479.97,2025-07-21,32,SL,6,2,142.42,-2157.19
BPCL,MOM,330.53,2025-07-11,314.39,2025-07-25,151,SL,11,2,143.41,-2581.26
BAJAJFINSV,MOM,2048.2,2025-07-22,1971.69,2025-07-25,24,SL,4,1,142.03,-1978.36
HDFCBANK,MOM,915.13,2025-04-16,958.07,2025-08-26,27,SL,92,1,74.29,1085.08
EICHERMOT,MOM,5995.99,2025-08-21,6304.19,2025-09-02,4,TARGET_HALF,8,1,72.27,1160.53
DIXON,MOM,16951.31,2025-08-21,18146.6,2025-09-16,1,TARGET_HALF,18,1,51.53,1143.76
APOLLOHOSP,MOM,7872.92,2025-09-11,7593.81,2025-09-22,6,SL_GAP,8,2,136.61,-1811.29
DIXON,MOM,16951.31,2025-08-21,17175.22,2025-09-29,1,SL,27,1,50.17,173.74
DATAPATTNS,MOM,2850.36,2025-10-06,2830.63,2025-10-21,17,TIME_DEAD,12,2,142.06,-477.44
BHARTIARTL,MOM,2065.96,2025-10-23,2002.08,2025-10-23,24,SL,1,2,143.7,-1676.92
